Date,Open,High,Low,Close,Volume
2020-11-24,843.9,857.4,835.35,840.5,8465615
2020-11-25,840.5,846.0,822.5,824.7,5610232
2020-11-26,824.1,845.0,819.6,842.05,8414555
2020-11-27,842.0,847.8,814.35,822.1,11723771
2020-12-01,824.0,835.7,815.1,834.1,8078785
2020-12-02,836.15,847.45,831.3,843.15,7062229
2020-12-03,848.5,864.0,843.3,862.2,9633229
2020-12-04,866.0,867.85,854.45,858.5,5577388
2020-12-07,858.0,859.95,850.4,855.3,5314265
2020-12-08,859.0,875.7,856.0,863.8,8722526
2020-12-09,866.1,880.0,864.1,870.55,5952003
2020-12-10,870.55,877.8,865.0,866.75,4641898
2020-12-11,871.0,881.8,855.2,862.25,5637035
2020-12-14,866.1,875.65,858.1,873.0,5143894
2020-12-15,874.7,889.0,870.0,886.0,7527270
2020-12-16,886.25,892.0,878.45,885.05,4378179
2020-12-17,887.0,887.0,877.0,879.35,4863371
2020-12-18,894.75,905.0,886.65,890.65,11568187
2020-12-21,886.65,910.5,850.0,870.45,8875855
2020-12-22,879.15,919.25,872.0,913.8,10251896
2020-12-23,920.0,935.0,914.8,922.6,10723068
2020-12-24,927.95,928.25,910.7,919.35,4390561
2020-12-28,925.0,927.5,913.5,921.8,3884750
2020-12-29,929.0,945.0,925.25,935.9,6760167
2020-12-30,938.0,950.0,931.0,940.7,6382809
2020-12-31,939.05,949.85,935.0,946.15,3468390
2021-01-01,942.0,955.5,942.0,950.5,3142822
2021-01-04,959.0,984.7,952.65,980.4,5259092
2021-01-05,967.2,995.8,967.2,991.35,7150252
2021-01-06,997.9,998.0,966.1,978.2,5995748
2021-01-07,988.0,988.2,959.4,962.55,5261000
2021-01-08,974.9,1003.5,970.0,994.65,8034775
2021-01-11,1015.0,1059.05,1008.0,1055.1,13384331
2021-01-12,1052.0,1065.05,1038.7,1062.1,6700542
2021-01-13,1064.0,1067.0,1041.0,1055.95,6691409
2021-01-14,1049.0,1049.0,1006.6,1027.7,15021108
2021-01-15,1047.65,1052.85,984.0,989.8,23769415
2021-01-18,1000.0,1004.95,976.9,981.5,12947569
2021-01-19,988.0,997.0,979.35,983.85,6387923
2021-01-20,991.75,1009.65,987.55,999.25,7444118
2021-01-21,1009.0,1020.0,982.95,993.3,8857975
2021-01-22,991.7,1004.0,981.4,985.8,5379466
2021-01-25,997.0,997.0,941.0,947.5,7731883
2021-01-27,952.1,963.25,942.5,955.5,7531736
2021-01-28,948.8,952.4,930.1,933.95,6960905
2021-01-29,941.0,949.5,909.5,914.0,7692663
2021-02-01,919.0,933.75,896.35,928.35,8651478
2021-02-02,947.0,963.0,935.55,954.65,7690178
2021-02-03,966.0,973.3,952.55,959.9,6354619
2021-02-04,964.7,970.45,950.15,957.65,4623148
2021-02-05,960.8,963.9,940.05,946.15,4631703
2021-02-08,955.0,964.4,941.35,957.75,6509526
2021-02-09,965.0,981.9,946.6,951.6,7557977
2021-02-10,955.05,965.1,946.15,959.45,4896963
2021-02-11,959.45,972.5,953.05,970.4,3745595
2021-02-12,975.0,986.5,957.6,960.4,8045740
2021-02-15,970.0,971.25,950.1,954.65,4643228
2021-02-16,957.0,962.25,944.1,952.3,3277086
2021-02-17,952.0,958.4,941.0,943.2,3643176
2021-02-18,944.0,956.75,938.35,948.1,5133094
2021-02-19,950.0,958.0,944.45,950.15,5494816
2021-02-22,949.5,951.45,916.05,920.15,5043203
2021-02-23,924.0,930.0,906.55,909.95,5916942
2021-02-24,918.0,919.45,905.5,916.0,3435827
2021-02-25,925.9,934.05,922.15,929.25,6234947
2021-02-26,908.0,925.0,905.1,909.45,9198218
2021-03-01,916.0,934.45,915.65,930.35,5397960
2021-03-02,933.85,957.9,928.6,953.75,6715548
2021-03-03,965.0,968.0,947.0,965.25,5742015
2021-03-04,952.0,969.9,951.35,958.0,6268541
2021-03-05,956.1,972.0,936.3,941.5,5992152
2021-03-08,952.5,973.0,944.0,961.9,5621823
2021-03-09,964.1,976.9,949.1,973.15,5440319
2021-03-10,985.7,995.1,979.7,988.5,7694950
2021-03-12,988.5,1002.8,973.6,979.25,6447010
2021-03-15,977.5,994.35,967.35,992.35,5321081
2021-03-16,993.0,1018.8,990.45,1007.25,8094575
2021-03-17,1012.0,1023.9,982.7,987.45,6758901
2021-03-18,995.0,999.75,932.4,947.75,8269566
2021-03-19,950.0,969.0,937.7,960.45,9004154
2021-03-22,960.45,982.45,944.6,978.75,4745254
2021-03-23,983.65,992.9,971.8,980.85,5158305
2021-03-24,971.05,984.75,965.8,975.65,3874331
2021-03-25,970.0,974.5,950.0,957.05,4879437
2021-03-26,965.0,975.0,953.8,958.55,4271178
2021-03-30,965.0,1000.8,964.45,995.8,5475051
2021-03-31,1000.0,1000.0,978.65,982.65,4445140
2021-04-01,992.0,1013.5,990.6,1002.6,5269079
2021-04-05,1007.0,1040.0,1002.6,1033.5,9452833
2021-04-06,1039.0,1040.6,1020.25,1028.4,4260257
2021-04-07,1031.0,1045.0,1024.7,1037.2,3551106
2021-04-08,1044.0,1054.4,1031.65,1037.5,4852068
2021-04-09,1042.1,1054.8,1034.15,1045.4,3708082
2021-04-12,1042.95,1042.95,1001.2,1009.4,5976427
2021-04-13,1012.5,1020.8,972.2,983.4,7773994
2021-04-15,968.0,994.7,958.75,991.9,7430279
2021-04-16,1000.0,1016.8,994.5,1012.75,4677808
2021-04-19,996.0,1028.45,987.85,994.6,6239343
2021-04-20,1006.0,1006.0,957.0,961.3,9742418
2021-04-22,966.0,971.9,955.3,961.9,4970596
2021-04-23,964.0,974.85,950.2,955.65,6023490
2021-04-26,940.0,954.5,923.05,928.8,19619972
2021-04-27,931.0,938.55,923.4,928.85,6406825
2021-04-28,931.2,935.85,921.75,923.8,6845677
2021-04-29,929.7,929.7,907.1,909.55,8588734
2021-04-30,905.0,915.0,895.4,898.95,10921664
2021-05-03,898.75,910.45,891.0,907.7,6871176
2021-05-04,910.0,915.0,899.25,900.95,6217026
2021-05-05,903.95,910.8,900.6,909.4,2696835
2021-05-06,912.0,923.9,901.25,916.0,6319104
2021-05-07,918.0,921.4,913.7,916.4,3651558
2021-05-10,918.05,921.6,910.2,913.95,4029147
2021-05-11,908.5,912.45,905.1,907.3,3818154
2021-05-12,906.15,908.95,895.0,906.1,4076940
2021-05-14,909.0,912.0,896.5,910.35,5184569
2021-05-17,914.6,927.2,910.1,922.15,7956551
2021-05-18,928.0,939.5,924.5,931.6,5913426
2021-05-19,928.0,941.0,925.15,931.4,4178834
2021-05-20,932.0,934.8,922.05,924.4,4753782
2021-05-21,925.5,934.65,923.0,930.65,4161547
2021-05-24,931.5,939.0,927.7,932.8,4191877
2021-05-25,938.0,943.8,935.15,940.6,5032874
2021-05-26,940.0,948.95,932.55,945.8,5017674
2021-05-27,949.0,956.9,938.1,942.4,9078274
2021-05-28,940.05,949.75,937.4,942.55,4098094
2021-05-31,941.55,947.85,932.6,945.2,4171524
2021-06-01,948.0,952.0,942.05,950.7,2944472
2021-06-02,947.0,950.7,937.6,943.75,3657189
2021-06-03,945.0,949.8,937.0,939.45,4164240
2021-06-04,940.1,944.2,934.75,936.55,3550303
2021-06-07,939.0,951.95,937.1,949.6,3282517
2021-06-08,952.0,972.0,951.45,967.2,6385642
2021-06-09,973.9,985.0,965.1,971.3,5521459
2021-06-10,979.5,981.65,966.55,968.55,3878256
2021-06-11,976.0,990.0,970.5,983.35,4777035
2021-06-14,983.0,988.45,976.0,984.2,2236373
2021-06-15,985.1,993.0,983.2,985.45,2559001
2021-06-16,984.05,986.0,974.0,979.4,3138753
2021-06-17,980.0,988.95,978.55,986.4,3609989
2021-06-18,990.0,996.7,970.1,975.25,5622783
2021-06-21,968.0,983.45,961.25,982.0,1639495
2021-06-24,972.0,994.6,969.1,989.7,4686567
2021-06-25,995.0,1010.0,989.25,995.65,5196000
2021-06-28,1000.0,1000.0,984.2,985.3,1844159
2021-06-29,986.95,993.9,980.5,983.6,1895170
2021-06-30,981.0,991.45,981.0,983.5,2682591
2021-07-01,987.0,988.0,975.15,985.5,2861509
2021-07-02,983.55,987.6,977.25,984.65,1646631
2021-07-05,991.7,995.9,978.0,979.75,2598033
2021-07-06,980.0,982.2,970.2,972.05,2486069
2021-07-07,970.0,977.6,960.3,975.35,3014899
2021-07-08,975.0,982.0,970.0,976.8,2555624
2021-07-09,972.0,979.5,966.6,976.85,3218471
2021-07-12,980.0,983.05,975.0,979.45,2037878
2021-07-13,983.0,983.0,964.0,967.95,2997764
2021-07-14,968.25,992.95,968.1,989.45,4371180
2021-07-15,993.0,1052.5,990.8,1039.75,12701032
2021-07-16,1044.9,1048.75,998.05,1005.0,8665827
2021-07-19,1005.0,1018.3,992.5,1000.2,4644600
2021-07-20,999.0,1012.2,969.35,977.2,10216774
2021-07-22,970.0,981.5,970.0,978.6,6156400
2021-07-23,984.7,1003.9,982.6,994.0,5265839
2021-07-26,994.0,1004.0,987.25,1000.3,2477027
2021-07-27,1000.0,1002.2,983.85,992.0,2883514
2021-07-28,995.0,995.95,977.3,983.1,2952249
2021-07-29,985.55,1009.0,985.55,1007.6,4732101
2021-07-30,1013.0,1049.95,1009.9,1024.95,9330054
2021-08-02,1034.0,1039.0,1023.05,1035.4,2536478
2021-08-03,1030.0,1042.95,1024.0,1039.45,3359006
2021-08-04,1041.1,1047.75,1034.6,1039.95,3122161
2021-08-05,1040.0,1073.0,1033.7,1061.15,7896314
2021-08-06,1061.15,1070.0,1043.0,1049.95,11584782
2021-08-09,1057.8,1066.75,1043.5,1050.55,6321578
2021-08-10,1052.5,1072.3,1048.0,1063.7,5871606
2021-08-11,1070.95,1079.0,1057.15,1066.95,5011239
2021-08-12,1071.0,1101.15,1068.0,1096.5,6540144
2021-08-13,1099.0,1123.95,1090.2,1119.45,7270809
2021-08-16,1120.95,1129.35,1114.35,1123.65,3159376
2021-08-17,1119.25,1151.95,1112.55,1142.95,5295838
2021-08-18,1157.9,1157.9,1131.6,1134.25,4871006
2021-08-20,1107.5,1140.75,1107.2,1117.35,3467046
2021-08-23,1129.0,1178.2,1126.05,1163.1,9383780
2021-08-24,1167.95,1173.0,1150.0,1152.9,3947317
2021-08-25,1159.9,1169.9,1140.3,1154.35,3447912
2021-08-26,1159.9,1172.0,1155.0,1167.45,4654833
2021-08-27,1167.45,1169.75,1159.5,1162.95,3050466
2021-08-30,1164.0,1170.35,1154.55,1163.4,2956868
2021-08-31,1166.0,1193.4,1162.05,1182.3,7199002
2021-09-01,1190.0,1190.5,1161.75,1164.65,3200410
2021-09-02,1172.0,1182.0,1154.0,1172.75,5224479
2021-09-03,1173.5,1180.6,1158.25,1174.75,4533364
2021-09-06,1175.0,1210.1,1174.0,1200.15,4331916
2021-09-07,1214.0,1214.95,1180.1,1182.2,3721585
2021-09-08,1185.0,1191.15,1167.05,1188.8,3118518
2021-09-09,1192.0,1204.95,1183.0,1198.55,3388292
2021-09-13,1192.0,1215.0,1176.45,1208.4,3723138
